,Precipitacion_mm,Temp_Max_C,Temp_Min_C,Temp_Media_C,Humedad_Relativa,Velocidad_Viento,Radiacion_Solar,Anio,Mes,ONI,VolumenUtilDiarioMasa,irca,POBLACION TOTAL,DENSIDAD POBLACIONAL,INDICE DE DESEMPENO INSTITUCIONAL,ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,CONTINUIDAD DE ACUEDUCTO URBANO,CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,NITROGENO TOTAL,OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,TURBIDEZ,pH
Precipitacion_mm,1.0,-0.2877989391489498,0.08783863957894608,-0.14220406143527553,0.6362956809141729,-0.15402625979104215,-0.4363616846107672,0.039822359648625925,0.11666656150343922,0.05049170319524004,0.09450227822415139,0.06844400528290401,,0.06440917038609663,0.03900831531619792,0.06440917038609663,0.06440917038609663,0.06440917038609663,0.06440917038609663,0.06440917038609663,0.06440917038609663,,0.143960588065884,0.2518273815507985,0.4377696875109977,-0.2954621848739496,-0.20695614117321068,-0.14482917378139232,-0.33061183221500223,-0.35073891625615766,0.1601594398205319,-0.16521384379609902,-0.14144373730111756,0.15191808748843505,-0.3810301384168211
Temp_Max_C,-0.2877989391489498,1.0,0.7765498580875588,0.9534112921947542,-0.694250385311952,-0.07837230195870237,0.43665367419301343,0.027871163634589625,-0.12868017516463698,0.02191633582910032,-0.08276826150638558,-0.07702390378756885,,-0.11019443483867034,0.25220893523403826,-0.11019443483867034,-0.11019443483867034,-0.11019443483867034,-0.11019443483867034,-0.11019443483867034,-0.11019443483867034,,0.1078690024652539,0.13179884900817504,0.34174037072740204,0.6849472969003587,-0.35749849301016584,0.4443196949088197,0.6976168642171833,0.7929548034035325,-0.8531085659112725,0.4628482249981693,0.7934148331656045,0.3788596803662416,0.06202872107437545
Temp_Min_C,0.08783863957894608,0.7765498580875588,1.0,0.8833875236190902,-0.20511308510648119,-0.26426872943860763,0.21275385591057225,0.03785573603984627,-0.020551604530585004,0.025708059367911523,0.035382188229041815,0.019428865149368892,,-0.036821878773490836,0.2353950062184357,-0.036821878773490836,-0.036821878773490836,-0.036821878773490836,-0.036821878773490836,-0.036821878773490836,-0.036821878773490836,,0.11590830219890914,0.32899390592476363,0.65295744613665,0.16807529792718093,-0.377934807473595,0.03950088097922837,0.26954480646612505,0.17440571631242652,-0.5328498709439707,0.3496313754461724,0.6083813703887865,0.5090561845676033,-0.38729198285069055
Temp_Media_C,-0.14220406143527553,0.9534112921947542,0.8833875236190902,1.0,-0.5232032003004312,-0.11719869673614003,0.3741161359856127,0.05857551777755171,-0.06808013258097595,0.05722921123487956,-0.0273122243061387,-0.03038602528837508,,-0.08724386798967174,0.2912330591027843,-0.08724386798967174,-0.08724386798967174,-0.08724386798967174,-0.08724386798967174,-0.08724386798967174,-0.08724386798967174,,0.14035607970804925,0.24191715085452506,0.5123188175142963,0.5988906779530515,-0.38273180412330515,0.35398591820440767,0.5912837148297452,0.7611774906855904,-0.7764330141757917,0.4137848241954266,0.7714162259319061,0.42900812030184826,-0.018346861363075045
Humedad_Relativa,0.6362956809141729,-0.694250385311952,-0.20511308510648119,-0.5232032003004312,1.0,-0.14423687850739275,-0.4876038277773199,0.05199362134073798,0.1895590518709039,0.021612369286138616,0.18432885906344543,0.16710102336277383,,0.11610954958047447,-0.016140933796172343,0.11610954958047447,0.11610954958047447,0.11610954958047447,0.11610954958047447,0.11610954958047447,0.11610954958047447,,0.10015719545780305,0.3310067518514835,0.28140705807596256,-0.6007827320514887,-0.03871861581551789,-0.3867823504930152,-0.5753578491950468,-0.7369458128078817,0.4856525405805682,-0.28845877058469827,-0.38514925738112327,0.22376767878906206,-0.3828162538070485
Velocidad_Viento,-0.15402625979104215,-0.07837230195870237,-0.26426872943860763,-0.11719869673614003,-0.14423687850739275,1.0,-0.16048319407876124,0.05474398088866784,-0.14216935543291884,0.16410580740272984,0.0460886543068027,0.056068368653167555,,-0.05664199358417291,0.447420545960082,-0.05664199358417291,-0.05664199358417291,-0.05664199358417291,-0.05664199358417291,-0.05664199358417291,-0.05664199358417291,,0.38459041798494875,0.18884605098204563,0.2736839279427646,-0.007935945659378423,0.22321428571428573,0.11289424345339058,0.02036906913300029,-0.1274768095969836,-0.029101262391064926,0.07684729957294399,-0.1968011602864174,-0.004060067559395969,0.011761040542366409
Radiacion_Solar,-0.4363616846107672,0.43665367419301343,0.21275385591057225,0.3741161359856127,-0.4876038277773199,-0.16048319407876124,1.0,0.00315530831411256,0.06202033935971906,-0.00893514196721569,-0.11392466771202275,-0.08067647901768621,,-0.05629849683222946,-0.18630338983326702,-0.05629849683222946,-0.05629849683222946,-0.05629849683222946,-0.05629849683222946,-0.05629849683222946,-0.05629849683222946,,-0.19958086938672406,-0.09078105095880923,-0.2812638121261479,0.22425508422032228,-0.5475429033026336,0.0036744068129696654,0.19758630528454293,0.36974997201264437,-0.27266178483522135,0.3397051089486465,0.378257011660436,0.16934128866920123,-0.09213812356402239
Anio,0.039822359648625925,0.027871163634589625,0.03785573603984627,0.05857551777755171,0.05199362134073798,0.05474398088866784,0.00315530831411256,1.0,0.0,-0.25457649135534294,0.4767312946227962,0.5,,-0.5976143046671968,,-0.5976143046671968,-0.5976143046671968,-0.5976143046671968,-0.5976143046671968,-0.5976143046671968,-0.5976143046671968,,-0.10910894511799618,0.0,0.502668768982242,0.36012457093205774,0.155217914981849,0.24925372077396837,0.3133088708585023,-0.21083872751845711,-0.43984274486175573,0.1886004847489863,-0.06250577571508897,0.2431259817974645,-0.17012623952134132
Mes,0.11666656150343922,-0.12868017516463698,-0.020551604530585004,-0.06808013258097595,0.1895590518709039,-0.14216935543291884,0.06202033935971906,0.0,1.0,-0.14946189570038834,0.04367131467411467,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0946805379389849,0.13755340490766205,-0.3118248045944081,0.0505337893055159,0.1345407351317453,0.22137976027297948,-0.06527272087833173,0.2115463100131904,0.10636892078176771,-0.1539968481413033,0.02515578102965702
ONI,0.05049170319524004,0.02191633582910032,0.025708059367911523,0.05722921123487956,0.021612369286138616,0.16410580740272984,-0.00893514196721569,-0.25457649135534294,-0.14946189570038834,1.0,-0.10574814505156534,-0.12483616290097144,,0.21823183873681581,0.0,0.21823183873681581,0.21823183873681581,0.21823183873681581,0.21823183873681581,0.21823183873681581,0.21823183873681581,,0.028252909435471034,0.0,-0.12337305775189406,-0.36012085055377246,-0.24276951623665974,-0.28936308068009986,-0.37638093671286127,-0.3002001735712182,0.3548151719441107,-0.15942573294886841,-0.17884402668164678,-0.14816553843036273,-0.12665401646810853
VolumenUtilDiarioMasa,0.09450227822415139,-0.08276826150638558,0.035382188229041815,-0.0273122243061387,0.18432885906344543,0.0460886543068027,-0.11392466771202275,0.4767312946227962,0.04367131467411467,-0.10574814505156534,1.0,0.9534625892455924,,0.2279211529192759,,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2279211529192759,0.2279211529192759,,,,,,,,,,,,,,
irca,0.06844400528290401,-0.07702390378756885,0.019428865149368892,-0.03038602528837508,0.16710102336277383,0.056068368653167555,-0.08067647901768621,0.5,0.0,-0.12483616290097144,0.9534625892455924,1.0,,0.23904572186687872,,0.23904572186687872,0.23904572186687872,0.23904572186687872,0.23904572186687872,0.23904572186687872,0.23904572186687872,,,,,,,,,,,,,,
POBLACION TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENSIDAD POBLACIONAL,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
INDICE DE DESEMPENO INSTITUCIONAL,0.03900831531619792,0.25220893523403826,0.2353950062184357,0.2912330591027843,-0.016140933796172343,0.447420545960082,-0.18630338983326702,,0.0,0.0,,,,,1.0,,,,,,,,1.0,0.8,,1.0,,1.0,1.0,1.0,-1.0,0.5,1.0,1.0,0.5
ACCESO A AGUA POTABLE ADECUADO,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
COBERTURA DE ACUEDUCTO URBANO,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
COBERTURA DE ACUEDUCTO RURAL,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
COBERTURA DE ALCANTARILLADO URBANO,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
COBERTURA DE ALCANTARILLADO RURAL,0.06440917038609663,-0.11019443483867034,-0.036821878773490836,-0.08724386798967174,0.11610954958047447,-0.05664199358417291,-0.05629849683222946,-0.5976143046671968,0.0,0.21823183873681581,0.2279211529192759,0.23904572186687872,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,-0.3350801813242426,-0.1341862600304233,-0.16051925176212506,-0.3239059431361432,0.16279138551129593,0.4101997847572218,-0.16131052006886915,-0.004171923996010908,-0.22377196625315499,0.0736986803191156
CONTINUIDAD DE ACUEDUCTO URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIDAD DEL AGUA,0.143960588065884,0.1078690024652539,0.11590830219890914,0.14035607970804925,0.10015719545780305,0.38459041798494875,-0.19958086938672406,-0.10910894511799618,0.0,0.028252909435471034,,,,,1.0,,,,,,,,1.0,0.7319250547113999,,0.5654461466217139,-1.0,0.39665625210776945,0.5148091782675306,0.5907646307988055,-0.5974790825125827,0.09283444198266944,0.6920385675071722,0.14712247158412492,0.24474534704521944
AGUAS RESIDUALES TRATADAS,0.2518273815507985,0.13179884900817504,0.32899390592476363,0.24191715085452506,0.3310067518514835,0.18884605098204563,-0.09078105095880923,0.0,0.0,0.0,,,,,0.8,,,,,,,,0.7319250547113999,1.0,,0.26352313834736496,-1.0,0.21081851067789195,0.26352313834736496,0.15811388300841897,-0.4763305116224668,0.15811388300841897,0.5270462766947299,0.29277002188455997,-0.21081851067789195
Nivel_Minimo,0.4377696875109977,0.34174037072740204,0.65295744613665,0.5123188175142963,0.28140705807596256,0.2736839279427646,-0.2812638121261479,0.502668768982242,0.0946805379389849,-0.12337305775189406,,,,,,,,,,,,,,,1.0,-0.7762237762237763,-0.3404271044608361,-0.4203158810030077,-0.16783216783216784,,0.08391608391608392,0.17482517482517482,0.4125874125874126,0.6386004222984786,-0.7552447552447552
CONDUCTIVIDAD ELECTRICA,-0.2954621848739496,0.6849472969003587,0.16807529792718093,0.5988906779530515,-0.6007827320514887,-0.007935945659378423,0.22425508422032228,0.36012457093205774,0.13755340490766205,-0.36012085055377246,,,,-0.3350801813242426,1.0,-0.3350801813242426,-0.3350801813242426,-0.3350801813242426,-0.3350801813242426,-0.3350801813242426,-0.3350801813242426,,0.5654461466217139,0.26352313834736496,-0.7762237762237763,1.0,0.36011739134610005,0.763287509601228,0.8023677187449753,0.9177339901477832,-0.7561350464690479,0.27298706050494964,0.46236973140844106,-0.16842427808073987,0.4919678268139545
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.20695614117321068,-0.35749849301016584,-0.377934807473595,-0.38273180412330515,-0.03871861581551789,0.22321428571428573,-0.5475429033026336,0.155217914981849,-0.3118248045944081,-0.24276951623665974,,,,-0.1341862600304233,,-0.1341862600304233,-0.1341862600304233,-0.1341862600304233,-0.1341862600304233,-0.1341862600304233,-0.1341862600304233,,-1.0,-1.0,-0.3404271044608361,0.36011739134610005,1.0,0.5487548415661999,0.06250001860545146,0.2857243743174461,0.16309788609014617,-0.2174811062463569,-0.5913928746494463,-0.2506002995815371,0.4883492160515338
DEMANDA QUIMICA DE OXIGENO (DQO),-0.14482917378139232,0.4443196949088197,0.03950088097922837,0.35398591820440767,-0.3867823504930152,0.11289424345339058,0.0036744068129696654,0.24925372077396837,0.0505337893055159,-0.28936308068009986,,,,-0.16051925176212506,1.0,-0.16051925176212506,-0.16051925176212506,-0.16051925176212506,-0.16051925176212506,-0.16051925176212506,-0.16051925176212506,,0.39665625210776945,0.21081851067789195,-0.4203158810030077,0.763287509601228,0.5487548415661999,1.0,0.696745120651984,0.7960591133004926,-0.5849899248884078,0.2886892612988735,0.3203174847277507,0.021079048267669834,0.4740978945743184
FOSFORO TOTAL,-0.33061183221500223,0.6976168642171833,0.26954480646612505,0.5912837148297452,-0.5753578491950468,0.02036906913300029,0.19758630528454293,0.3133088708585023,0.1345407351317453,-0.37638093671286127,,,,-0.3239059431361432,1.0,-0.3239059431361432,-0.3239059431361432,-0.3239059431361432,-0.3239059431361432,-0.3239059431361432,-0.3239059431361432,,0.5148091782675306,0.26352313834736496,-0.16783216783216784,0.8023677187449753,0.06250001860545146,0.696745120651984,1.0,0.8438423645320197,-0.7760653237970215,0.5895171991425947,0.5158985358630827,0.45831592712247726,0.28247722584408985
NITROGENO TOTAL,-0.35073891625615766,0.7929548034035325,0.17440571631242652,0.7611774906855904,-0.7369458128078817,-0.1274768095969836,0.36974997201264437,-0.21083872751845711,0.22137976027297948,-0.3002001735712182,,,,0.16279138551129593,1.0,0.16279138551129593,0.16279138551129593,0.16279138551129593,0.16279138551129593,0.16279138551129593,0.16279138551129593,,0.5907646307988055,0.15811388300841897,,0.9177339901477832,0.2857243743174461,0.7960591133004926,0.8438423645320197,1.0,-0.73130471916096,0.26666671728429825,0.6991870130889357,-0.2802197802197802,0.66379208673168
OXIGENO DISUELTO (OD),0.1601594398205319,-0.8531085659112725,-0.5328498709439707,-0.7764330141757917,0.4856525405805682,-0.029101262391064926,-0.27266178483522135,-0.43984274486175573,-0.06527272087833173,0.3548151719441107,,,,0.4101997847572218,-1.0,0.4101997847572218,0.4101997847572218,0.4101997847572218,0.4101997847572218,0.4101997847572218,0.4101997847572218,,-0.5974790825125827,-0.4763305116224668,0.08391608391608392,-0.7561350464690479,0.16309788609014617,-0.5849899248884078,-0.7760653237970215,-0.73130471916096,1.0,-0.4570234647659966,-0.6340362198429024,-0.3783246757742376,-0.05247232296606844
SOLIDOS SUSPENDIDOS TOTALES,-0.16521384379609902,0.4628482249981693,0.3496313754461724,0.4137848241954266,-0.28845877058469827,0.07684729957294399,0.3397051089486465,0.1886004847489863,0.2115463100131904,-0.15942573294886841,,,,-0.16131052006886915,0.5,-0.16131052006886915,-0.16131052006886915,-0.16131052006886915,-0.16131052006886915,-0.16131052006886915,-0.16131052006886915,,0.09283444198266944,0.15811388300841897,0.17482517482517482,0.27298706050494964,-0.2174811062463569,0.2886892612988735,0.5895171991425947,0.26666671728429825,-0.4570234647659966,1.0,0.3754293263962671,0.8683888820498764,-0.08703588078631536
TEMPERATURA,-0.14144373730111756,0.7934148331656045,0.6083813703887865,0.7714162259319061,-0.38514925738112327,-0.1968011602864174,0.378257011660436,-0.06250577571508897,0.10636892078176771,-0.17884402668164678,,,,-0.004171923996010908,1.0,-0.004171923996010908,-0.004171923996010908,-0.004171923996010908,-0.004171923996010908,-0.004171923996010908,-0.004171923996010908,,0.6920385675071722,0.5270462766947299,0.4125874125874126,0.46236973140844106,-0.5913928746494463,0.3203174847277507,0.5158985358630827,0.6991870130889357,-0.6340362198429024,0.3754293263962671,1.0,0.36019574309427554,0.0791603623833468
TURBIDEZ,0.15191808748843505,0.3788596803662416,0.5090561845676033,0.42900812030184826,0.22376767878906206,-0.004060067559395969,0.16934128866920123,0.2431259817974645,-0.1539968481413033,-0.14816553843036273,,,,-0.22377196625315499,1.0,-0.22377196625315499,-0.22377196625315499,-0.22377196625315499,-0.22377196625315499,-0.22377196625315499,-0.22377196625315499,,0.14712247158412492,0.29277002188455997,0.6386004222984786,-0.16842427808073987,-0.2506002995815371,0.021079048267669834,0.45831592712247726,-0.2802197802197802,-0.3783246757742376,0.8683888820498764,0.36019574309427554,1.0,-0.4739376392880904
pH,-0.3810301384168211,0.06202872107437545,-0.38729198285069055,-0.018346861363075045,-0.3828162538070485,0.011761040542366409,-0.09213812356402239,-0.17012623952134132,0.02515578102965702,-0.12665401646810853,,,,0.0736986803191156,0.5,0.0736986803191156,0.0736986803191156,0.0736986803191156,0.0736986803191156,0.0736986803191156,0.0736986803191156,,0.24474534704521944,-0.21081851067789195,-0.7552447552447552,0.4919678268139545,0.4883492160515338,0.4740978945743184,0.28247722584408985,0.66379208673168,-0.05247232296606844,-0.08703588078631536,0.0791603623833468,-0.4739376392880904,1.0
