Ranking,Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF,Categoria,Importancia,Peso,Puntaje_Conocimiento_Dominio,% Cobertura,Puntaje_Calidad,Puntaje_Redundancia,Puntaje_Multicolinealidad,IPML,Nivel_IPML,Estado_Final,Justificacion
1,Precipitacion_mm,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.898,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
2,ONI,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.265,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Variabilidad Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
3,Radiacion_Solar,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.704,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,1.0,1.0,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
4,Humedad_Relativa,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,7.128,Moderada,Existe una dependencia moderada aceptable para modelado.,Sin restricciones importantes.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,0.75,0.95,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
5,Nivel_Minimo,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.027,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Hidrológica,Muy Alta,3,1.0,16.48,0.165,1.0,1.0,0.9165,Muy Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
6,pH,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,2.815,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Muy Alta,3,1.0,9.47,0.095,1.0,1.0,0.9095,Muy Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
7,DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,2.97,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Muy Alta,3,1.0,9.28,0.093,1.0,1.0,0.9093,Muy Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
8,Temp_Min_C,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,10.573,Alta,Presenta una dependencia considerable con otras variables.,Analizar conjuntamente con otras variables.,Climática,Muy Alta,3,1.0,100.0,1.0,1.0,0.5,0.9,Muy Alta,Seleccionada,Cumple todos los criterios del Framework.
9,AGUAS RESIDUALES TRATADAS,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,1.63,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Infraestructura,Muy Alta,3,1.0,18.18,0.182,0.833,1.0,0.8681,Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
10,Mes,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.152,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Temporal,Alta,2,0.667,100.0,1.0,1.0,1.0,0.8668,Alta,Seleccionada,Cumple todos los criterios del Framework.
11,Velocidad_Viento,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,1.477,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Climática,Alta,2,0.667,100.0,1.0,1.0,1.0,0.8668,Alta,Seleccionada,Cumple todos los criterios del Framework.
12,irca,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,13.982,Alta,Presenta una dependencia considerable con otras variables.,Analizar conjuntamente con otras variables.,Calidad del Agua,Muy Alta,3,1.0,100.0,1.0,0.833,0.5,0.8499,Alta,Seleccionada,Cumple todos los criterios del Framework.
13,VolumenUtilDiarioMasa,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,11.557,Alta,Presenta una dependencia considerable con otras variables.,Analizar conjuntamente con otras variables.,Hidrológica,Muy Alta,3,1.0,100.0,1.0,0.833,0.5,0.8499,Alta,Seleccionada,Cumple todos los criterios del Framework.
14,CALIDAD DEL AGUA,Numérica,2,0.333,Baja,Baja redundancia estructural.,4.372,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Muy Alta,3,1.0,18.18,0.182,0.667,1.0,0.8183,Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
15,OXIGENO DISUELTO (OD),Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,7.427,Moderada,Existe una dependencia moderada aceptable para modelado.,Sin restricciones importantes.,Calidad del Agua,Muy Alta,3,1.0,9.47,0.095,0.833,0.75,0.8094,Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
16,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),Numérica,2,0.333,Baja,Baja redundancia estructural.,1.934,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Muy Alta,3,1.0,4.92,0.049,0.667,1.0,0.805,Alta,Pendiente por Cobertura,Cobertura inferior al umbral mínimo establecido.
17,Temp_Max_C,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,31.915,Muy Alta,Comparte gran parte de su información con otras variables.,Revisar antes del entrenamiento de modelos.,Climática,Muy Alta,3,1.0,100.0,1.0,0.833,0.25,0.7999,Media,No Prioritaria,IPML inferior al umbral definido.
18,Temp_Media_C,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,36.048,Muy Alta,Comparte gran parte de su información con otras variables.,Revisar antes del entrenamiento de modelos.,Climática,Muy Alta,3,1.0,100.0,1.0,0.833,0.25,0.7999,Media,No Prioritaria,IPML inferior al umbral definido.
19,TEMPERATURA,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,2.883,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.833,1.0,0.7262,Media,No Prioritaria,IPML inferior al umbral definido.
20,SOLIDOS SUSPENDIDOS TOTALES,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,2.705,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.833,1.0,0.7262,Media,No Prioritaria,IPML inferior al umbral definido.
21,TURBIDEZ,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,1.619,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Calidad del Agua,Alta,2,0.667,6.44,0.064,0.833,1.0,0.7231,Media,No Prioritaria,IPML inferior al umbral definido.
22,Anio,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,5.779,Moderada,Existe una dependencia moderada aceptable para modelado.,Sin restricciones importantes.,Temporal,Media,1,0.333,100.0,1.0,1.0,0.75,0.6832,Baja,No Prioritaria,IPML inferior al umbral definido.
23,CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,2354914.55,Muy Alta,Comparte gran parte de su información con otras variables.,Revisar antes del entrenamiento de modelos.,Infraestructura,Alta,2,0.667,18.18,0.182,1.0,0.25,0.635,Baja,No Prioritaria,IPML inferior al umbral definido.
24,FOSFORO TOTAL,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,14.153,Alta,Presenta una dependencia considerable con otras variables.,Analizar conjuntamente con otras variables.,Calidad del Agua,Alta,2,0.667,9.28,0.093,0.833,0.5,0.626,Baja,No Prioritaria,IPML inferior al umbral definido.
25,NITROGENO TOTAL,Numérica,1,0.167,Muy Baja,Variable prácticamente independiente.,10.296,Alta,Presenta una dependencia considerable con otras variables.,Analizar conjuntamente con otras variables.,Calidad del Agua,Alta,2,0.667,5.49,0.055,0.833,0.5,0.6222,Baja,No Prioritaria,IPML inferior al umbral definido.
26,CONDUCTIVIDAD ELECTRICA,Numérica,2,0.333,Baja,Baja redundancia estructural.,22.078,Muy Alta,Comparte gran parte de su información con otras variables.,Revisar antes del entrenamiento de modelos.,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.667,0.25,0.5264,Baja,No Prioritaria,IPML inferior al umbral definido.
27,INDICE DE DESEMPENO INSTITUCIONAL,Numérica,5,0.833,Muy Alta,Variable altamente redundante respecto al conjunto.,4.434,Baja,Variable con baja dependencia estructural.,Variable estable para Machine Learning.,Institucional,Alta,2,0.667,9.09,0.091,0.167,1.0,0.526,Baja,No Prioritaria,IPML inferior al umbral definido.
28,ACCESO A AGUA POTABLE ADECUADO,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Infraestructura,Muy Alta,3,1.0,100.0,1.0,0.0,0.0,0.5,Baja,No Prioritaria,IPML inferior al umbral definido.
29,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Infraestructura,Muy Alta,3,1.0,100.0,1.0,0.0,0.0,0.5,Baja,No Prioritaria,IPML inferior al umbral definido.
30,DENSIDAD POBLACIONAL,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Demográfica,Alta,2,0.667,100.0,1.0,0.0,0.0,0.3668,Baja,No Prioritaria,IPML inferior al umbral definido.
31,COBERTURA DE ACUEDUCTO RURAL,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Infraestructura,Alta,2,0.667,100.0,1.0,0.0,0.0,0.3668,Baja,No Prioritaria,IPML inferior al umbral definido.
32,COBERTURA DE ACUEDUCTO URBANO,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Infraestructura,Alta,2,0.667,100.0,1.0,0.0,0.0,0.3668,Baja,No Prioritaria,IPML inferior al umbral definido.
33,COBERTURA DE ALCANTARILLADO RURAL,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Infraestructura,Alta,2,0.667,100.0,1.0,0.0,0.0,0.3668,Baja,No Prioritaria,IPML inferior al umbral definido.
34,COBERTURA DE ALCANTARILLADO URBANO,Numérica,6,1.0,Muy Alta,Variable altamente redundante respecto al conjunto.,inf,Perfecta,Información completamente redundante respecto al resto de variables.,Evaluar cuál variable conservar mediante el IPML.,Infraestructura,Alta,2,0.667,100.0,1.0,0.0,0.0,0.3668,Baja,No Prioritaria,IPML inferior al umbral definido.
35,POBLACION TOTAL,Numérica,0,0.0,Muy Baja,Variable prácticamente independiente.,,,,,Demográfica,Alta,2,0.667,100.0,1.0,1.0,,,Baja,No Evaluada,
